description,team,priority
Login is broken for Sam on the HR portal,APPLICATION,MEDIUM
Deployment of the payment gateway to production failed,DEVOPS,HIGH
MySQL server crashed and restarted unexpectedly,DATABASE,MEDIUM
Production database is running out of disk space,DATABASE,MEDIUM
Need to restore a table from yesterday's database backup,DATABASE,CRITICAL
Database connection pool exhausted for the inventory system,APPLICATION,LOW
Load balancer health checks failing for the customer portal service,CLOUD,MEDIUM
Need a new staging environment set up for the reporting tool,DEVOPS,MEDIUM
Unable to connect to the office VPN from home,NETWORK,MEDIUM
Request to review firewall rules for compliance audit,SECURITY,MEDIUM
Error 500 when submitting the form on the payment gateway,SECURITY,HIGH
ECS service deployment stuck in pending state,CLOUD,HIGH
High CPU usage on the database server during peak hours,DATABASE,MEDIUM
Phishing email reported by Carlos,CLOUD,MEDIUM
the customer portal is down and users cannot log in,APPLICATION,HIGH
High CPU usage on the database server during peak hours,DATABASE,LOW
Network latency is very high when accessing internal sites,NETWORK,HIGH
Database connection timeout on the the order management system service,DATABASE,LOW
Slow query performance on the the customer portal reporting database,DATABASE,LOW
the internal wiki login page is stuck on loading spinner,APPLICATION,MEDIUM
S3 bucket permissions need to be updated for the analytics platform,CLOUD,MEDIUM
Suspicious login attempts detected on Fatima's account,SECURITY,MEDIUM
User reports their account may have been compromised,SECURITY,MEDIUM
Site-to-site VPN tunnel between offices is down,NETWORK,LOW
Security scan flagged outdated software on several laptops,SECURITY,MEDIUM
CloudWatch alarms not triggering notifications,CLOUD,HIGH
Slow query performance on the the reporting tool reporting database,DATABASE,LOW
Access request for the payment gateway needs security approval,SECURITY,MEDIUM
Performance degradation reported on the payment gateway,APPLICATION,HIGH
Malware detected on a workstation in the London office,SECURITY,LOW
Docker container for the analytics platform keeps crashing on startup,DEVOPS,MEDIUM
Need to add a new secret to the the customer portal pipeline,DEVOPS,LOW
Index rebuild required on the customers table for performance,DATABASE,MEDIUM
Notifications are not being sent from the order management system,APPLICATION,MEDIUM
the reporting tool is running very slowly for all users,APPLICATION,MEDIUM
Login is broken for Alex on the internal wiki,APPLICATION,LOW
Wi-Fi is down on the 2nd floor,NETWORK,MEDIUM
Request to review firewall rules for compliance audit,SECURITY,HIGH
Lambda function timing out when processing the order management system events,SECURITY,HIGH
Getting connection errors when using the order management system,NETWORK,MEDIUM
Incorrect totals displayed on the the billing service reports page,APPLICATION,LOW
Firewall is blocking access to the billing service,NETWORK,HIGH
ECS service deployment stuck in pending state,CLOUD,MEDIUM
Index rebuild required on the customers table for performance,DATABASE,MEDIUM
Slow query performance on the the internal wiki reporting database,DATABASE,MEDIUM
RDS instance for the reporting tool needs to be resized,CLOUD,MEDIUM
Access request for the reporting tool needs security approval,SECURITY,MEDIUM
the CRM dashboard is showing a blank page,APPLICATION,CRITICAL
Terraform apply failed while provisioning the analytics platform infrastructure,DEVOPS,HIGH
User cannot access the internal network from the Toronto office,NETWORK,CRITICAL
John cannot access the analytics platform at all,APPLICATION,HIGH
User cannot upload files in the customer portal,APPLICATION,MEDIUM
ECS service deployment stuck in pending state,CLOUD,MEDIUM
Firewall is blocking access to the billing service,DATABASE,MEDIUM
Index rebuild required on the customers table for performance,DATABASE,HIGH
the CRM is down and users cannot log in,APPLICATION,CRITICAL
the reporting tool dashboard is showing a blank page,APPLICATION,LOW
Cloud storage costs increased significantly this month,CLOUD,LOW
Deadlock errors occurring on the orders table,DATABASE,MEDIUM
Ransomware alert triggered by endpoint protection on Mei's laptop,SECURITY,MEDIUM
Remote employees cannot reach the corporate intranet,NETWORK,MEDIUM
Login is broken for Wei on the internal wiki,APPLICATION,HIGH
Suspicious login attempts detected on Alex's account,SECURITY,MEDIUM
Packet loss detected on the Toronto network segment,NETWORK,CRITICAL
ECS task for the analytics platform keeps restarting,CLOUD,LOW
Firewall is blocking access to the customer portal,NETWORK,LOW
Phishing email reported by Carlos,SECURITY,MEDIUM
Unable to connect to PostgreSQL instance from the payment gateway,DATABASE,LOW
Need to provision a new environment for the reporting tool on AWS,DEVOPS,MEDIUM
the payment gateway mobile app crashes on startup,DEVOPS,LOW
the reporting tool outage affecting the London office,CLOUD,MEDIUM
Need to provision a new environment for the customer portal on AWS,CLOUD,LOW
DNS resolution is failing for internal domains,NETWORK,MEDIUM
Wi-Fi is down on the ground floor,NETWORK,MEDIUM
ECS service deployment stuck in pending state,CLOUD,MEDIUM
CI/CD pipeline for the billing service is failing on the build step,DEVOPS,CRITICAL
Need to roll back the latest deployment of the billing service,DEVOPS,MEDIUM
Site-to-site VPN tunnel between offices is down,NETWORK,MEDIUM
Search functionality in the inventory system returns no results,APPLICATION,MEDIUM
Database connection timeout on the the payment gateway service,DATABASE,MEDIUM
Fatima is getting a permission denied error in the inventory system,APPLICATION,MEDIUM
Docker container for the customer portal keeps crashing on startup,DEVOPS,HIGH
Build artifacts for the inventory system are not being published,DEVOPS,MEDIUM
Phishing email reported by Alex,NETWORK,HIGH
ECS service deployment stuck in pending state,CLOUD,MEDIUM
Network latency is very high when accessing internal sites,NETWORK,HIGH
Need access to deployment logs for the analytics platform,DEVOPS,MEDIUM
Priya cannot access the billing service at all,APPLICATION,HIGH
Need to reset password and unlock account for Wei,APPLICATION,HIGH
Suspicious login attempts detected on Priya's account,SECURITY,LOW
Maria cannot access the reporting tool at all,APPLICATION,HIGH
Need to reset password and unlock account for Fatima,SECURITY,LOW
Database backup job failed last night,DATABASE,MEDIUM
Database connection timeout on the the order management system service,DATABASE,CRITICAL
Cloud storage costs increased significantly this month,CLOUD,MEDIUM
Incorrect totals displayed on the the order management system reports page,APPLICATION,MEDIUM
Site-to-site VPN tunnel between offices is down,NETWORK,LOW
Packet loss detected on the Toronto network segment,NETWORK,HIGH
Getting connection errors when using the payment gateway,DATABASE,MEDIUM
Kubernetes pod for the HR portal is in CrashLoopBackOff,DEVOPS,HIGH
John is getting a permission denied error in the customer portal,APPLICATION,CRITICAL
Deployment of the analytics platform to production failed,DEVOPS,LOW
Ransomware alert triggered by endpoint protection on Fatima's laptop,DEVOPS,MEDIUM
Ethernet port in conference room A12 is not working,NETWORK,LOW
Getting connection errors when using the HR portal,NETWORK,MEDIUM
Kubernetes pod for the internal wiki is in CrashLoopBackOff,DEVOPS,HIGH
Ransomware alert triggered by endpoint protection on Mei's laptop,SECURITY,MEDIUM
User reports their account may have been compromised,SECURITY,MEDIUM
Remote employees cannot reach the corporate intranet,NETWORK,CRITICAL
SSL certificate for the HR portal is expiring soon,SECURITY,MEDIUM
Need to restore a table from yesterday's database backup,DATABASE,HIGH
Notifications are not being sent from the inventory system,SECURITY,MEDIUM
Wi-Fi is down on the 3rd floor,NETWORK,LOW
Request to review firewall rules for compliance audit,SECURITY,MEDIUM
Ethernet port in conference room A12 is not working,NETWORK,CRITICAL
Login is broken for Priya on the CRM,APPLICATION,LOW
CloudWatch alarms not triggering notifications,CLOUD,LOW
the inventory system dashboard is showing a blank page,APPLICATION,MEDIUM
the payment gateway login page is stuck on loading spinner,APPLICATION,MEDIUM
AWS EC2 instance for the HR portal is not responding,CLOUD,LOW
Unauthorized access attempt blocked by intrusion detection,SECURITY,LOW
Need to add a new secret to the the inventory system pipeline,DEVOPS,HIGH
ECS task for the inventory system keeps restarting,CLOUD,LOW
Database backup job failed last night,DATABASE,LOW
Build artifacts for the inventory system are not being published,DEVOPS,HIGH
Need to roll back the latest deployment of the HR portal,DEVOPS,HIGH
User reports their account may have been compromised,SECURITY,MEDIUM
Lena cannot access the billing service at all,APPLICATION,LOW
Error 500 when submitting the form on the CRM,APPLICATION,MEDIUM
AWS EC2 instance for the order management system is not responding,CLOUD,MEDIUM
Lambda function timing out when processing the order management system events,CLOUD,MEDIUM
Need to provision a new environment for the analytics platform on AWS,CLOUD,LOW
Build artifacts for the billing service are not being published,DEVOPS,HIGH
SSL certificate for the internal wiki is expiring soon,SECURITY,HIGH
RDS instance for the billing service needs to be resized,CLOUD,LOW
Search functionality in the payment gateway returns no results,APPLICATION,LOW
Need access to deployment logs for the HR portal,DEVOPS,HIGH
Feature request: add export to CSV in the reporting tool,APPLICATION,MEDIUM
Unable to connect to PostgreSQL instance from the payment gateway,DATABASE,HIGH
Auto-scaling group did not scale up during traffic spike,CLOUD,MEDIUM
the payment gateway is running very slowly for all users,APPLICATION,MEDIUM
Load balancer health checks failing for the analytics platform service,CLOUD,LOW
Docker container for the CRM keeps crashing on startup,DEVOPS,MEDIUM
Production database is running out of disk space,DATABASE,MEDIUM
Deadlock errors occurring on the orders table,DATABASE,LOW
Ethernet port in conference room C201 is not working,NETWORK,MEDIUM
ECS task for the internal wiki keeps restarting,CLOUD,HIGH
Search functionality in the payment gateway returns no results,APPLICATION,MEDIUM
Load balancer health checks failing for the customer portal service,CLOUD,HIGH
Terraform apply failed while provisioning the CRM infrastructure,DEVOPS,MEDIUM
VLAN configuration issue causing intermittent connectivity,APPLICATION,HIGH
Getting connection errors when using the reporting tool,NETWORK,HIGH
Docker container for the internal wiki keeps crashing on startup,DEVOPS,LOW
the order management system deployment caused an outage,DEVOPS,HIGH
Need to restore a table from yesterday's database backup,DATABASE,HIGH
Build artifacts for the payment gateway are not being published,DEVOPS,HIGH
Request to review firewall rules for compliance audit,SECURITY,MEDIUM
Getting connection errors when using the inventory system,NETWORK,MEDIUM
Database connection pool exhausted for the CRM,DATABASE,MEDIUM
the reporting tool is down and users cannot log in,APPLICATION,MEDIUM
Need to provision a new environment for the analytics platform on AWS,CLOUD,CRITICAL
the billing service login page is stuck on loading spinner,APPLICATION,CRITICAL
Access request for the analytics platform needs security approval,CLOUD,CRITICAL
Firewall is blocking access to the customer portal,NETWORK,MEDIUM
VLAN configuration issue causing intermittent connectivity,NETWORK,MEDIUM
Error 500 when submitting the form on the inventory system,APPLICATION,MEDIUM
Security scan flagged outdated software on several laptops,SECURITY,MEDIUM
DNS resolution is failing for internal domains,NETWORK,MEDIUM
Multi-factor authentication not working for John,SECURITY,HIGH
Mei cannot access the inventory system at all,APPLICATION,CRITICAL
Unable to connect to the office VPN from home,NETWORK,MEDIUM
Notifications are not being sent from the customer portal,APPLICATION,HIGH
User reports their account may have been compromised,SECURITY,MEDIUM
Need to add a new secret to the the billing service pipeline,DEVOPS,HIGH
Network latency is very high when accessing internal sites,NETWORK,MEDIUM
S3 bucket permissions need to be updated for the billing service,CLOUD,HIGH
ECS service deployment stuck in pending state,CLOUD,LOW
Need access to deployment logs for the customer portal,DEVOPS,HIGH
S3 bucket permissions need to be updated for the customer portal,CLOUD,CRITICAL
Firewall is blocking access to the order management system,NETWORK,HIGH
GitHub Actions workflow stuck and not completing,DEVOPS,MEDIUM
John cannot access the customer portal at all,CLOUD,MEDIUM
Firewall is blocking access to the HR portal,NETWORK,HIGH
the analytics platform mobile app crashes on startup,APPLICATION,MEDIUM
Deadlock errors occurring on the orders table,DATABASE,LOW
Remote employees cannot reach the corporate intranet,NETWORK,HIGH
Unable to connect to the office VPN from home,NETWORK,MEDIUM
Docker container for the analytics platform keeps crashing on startup,DEVOPS,LOW
Security scan flagged outdated software on several laptops,SECURITY,LOW
the customer portal outage affecting the remote office,CLOUD,HIGH
Network latency is very high when accessing internal sites,NETWORK,LOW
SSL certificate for the internal wiki is expiring soon,SECURITY,HIGH
CI/CD pipeline for the CRM is failing on the build step,DEVOPS,CRITICAL
Need a new staging environment set up for the reporting tool,DEVOPS,LOW
the HR portal is running very slowly for all users,APPLICATION,CRITICAL
Getting connection errors when using the analytics platform,NETWORK,MEDIUM
Mei cannot access the customer portal at all,APPLICATION,MEDIUM
RDS instance for the customer portal needs to be resized,CLOUD,MEDIUM
CI/CD pipeline for the internal wiki is failing on the build step,DEVOPS,MEDIUM
Docker container for the reporting tool keeps crashing on startup,DEVOPS,HIGH
Login is broken for Mei on the customer portal,APPLICATION,HIGH
DNS resolution is failing for internal domains,NETWORK,MEDIUM
MySQL server crashed and restarted unexpectedly,DATABASE,LOW
the analytics platform mobile app crashes on startup,APPLICATION,LOW
User cannot access the internal network from the Bangalore office,NETWORK,HIGH
Production database is running out of disk space,DATABASE,MEDIUM
Firewall is blocking access to the billing service,NETWORK,MEDIUM
Database connection pool exhausted for the customer portal,DATABASE,CRITICAL
Need to restore a table from yesterday's database backup,NETWORK,LOW
DNS resolution is failing for internal domains,NETWORK,MEDIUM
VPN connection keeps dropping for Alex,NETWORK,MEDIUM
the reporting tool deployment caused an outage,DEVOPS,HIGH
User cannot upload files in the reporting tool,APPLICATION,MEDIUM
VLAN configuration issue causing intermittent connectivity,NETWORK,MEDIUM
Database backup job failed last night,DEVOPS,LOW
Suspicious login attempts detected on Sam's account,SECURITY,CRITICAL
Docker container for the inventory system keeps crashing on startup,DEVOPS,CRITICAL
S3 bucket permissions need to be updated for the payment gateway,CLOUD,MEDIUM
S3 bucket permissions need to be updated for the billing service,CLOUD,HIGH
Unauthorized access attempt blocked by intrusion detection,SECURITY,LOW
Deployment of the HR portal to production failed,DEVOPS,HIGH
Unable to connect to PostgreSQL instance from the inventory system,APPLICATION,MEDIUM
Build artifacts for the billing service are not being published,SECURITY,CRITICAL
the analytics platform mobile app crashes on startup,APPLICATION,MEDIUM
the payment gateway outage affecting the Bangalore office,CLOUD,HIGH
the customer portal login page is stuck on loading spinner,APPLICATION,LOW
the internal wiki is down and users cannot log in,APPLICATION,MEDIUM
ECS service deployment stuck in pending state,CLOUD,MEDIUM
Monitoring dashboard for the order management system is not showing recent metrics,DEVOPS,HIGH
the reporting tool is down and users cannot log in,APPLICATION,MEDIUM
Ethernet port in conference room C201 is not working,NETWORK,MEDIUM
Malware detected on a workstation in the London office,SECURITY,MEDIUM
Suspicious login attempts detected on Sam's account,SECURITY,HIGH
Kubernetes pod for the internal wiki is in CrashLoopBackOff,DEVOPS,MEDIUM
ECS service deployment stuck in pending state,CLOUD,LOW
CI/CD pipeline for the payment gateway is failing on the build step,DEVOPS,CRITICAL
Ethernet port in conference room D7 is not working,NETWORK,LOW
Index rebuild required on the customers table for performance,DATABASE,LOW
Cloud storage costs increased significantly this month,CLOUD,HIGH
the order management system login page is stuck on loading spinner,APPLICATION,MEDIUM
GitHub Actions workflow stuck and not completing,DEVOPS,MEDIUM
Packet loss detected on the remote network segment,NETWORK,LOW
Application crashes on login for Wei,APPLICATION,LOW
Need to provision a new environment for the reporting tool on AWS,CLOUD,HIGH
Need access to deployment logs for the customer portal,DEVOPS,MEDIUM
User reports their account may have been compromised,SECURITY,HIGH
Malware detected on a workstation in the remote office,SECURITY,MEDIUM
the CRM dashboard is showing a blank page,APPLICATION,HIGH
Index rebuild required on the customers table for performance,DATABASE,HIGH
the HR portal mobile app crashes on startup,APPLICATION,MEDIUM
Packet loss detected on the New York network segment,NETWORK,LOW
MySQL server crashed and restarted unexpectedly,DATABASE,HIGH
CI/CD pipeline for the payment gateway is failing on the build step,DEVOPS,HIGH
Kubernetes pod for the customer portal is in CrashLoopBackOff,DEVOPS,LOW
Unauthorized access attempt blocked by intrusion detection,SECURITY,CRITICAL
the reporting tool is running very slowly for all users,APPLICATION,MEDIUM
Need to provision a new environment for the order management system on AWS,CLOUD,MEDIUM
Need to provision a new environment for the payment gateway on AWS,CLOUD,LOW
GitHub Actions workflow stuck and not completing,DEVOPS,HIGH
Deadlock errors occurring on the orders table,DATABASE,HIGH
Need to roll back the latest deployment of the HR portal,DEVOPS,MEDIUM
Database connection pool exhausted for the CRM,DEVOPS,HIGH
Incorrect totals displayed on the the order management system reports page,CLOUD,MEDIUM
John cannot access the HR portal at all,APPLICATION,MEDIUM
Build artifacts for the payment gateway are not being published,DEVOPS,HIGH
Need to reset password and unlock account for Maria,SECURITY,CRITICAL
Need access to deployment logs for the billing service,DEVOPS,MEDIUM
the order management system mobile app crashes on startup,APPLICATION,CRITICAL
Login is broken for Alex on the HR portal,APPLICATION,HIGH
Application crashes on login for Maria,APPLICATION,LOW
